,close,net_liquidity,tga,dxy,ust10y,vix,mvrv,active_addr
2017-12-02,10890.01,,,,,,,
2017-12-03,11165.41,,,,,,,
2017-12-04,11579.0,,,,,,,
2017-12-05,11699.99,,,,,,,
2017-12-06,13550.05,,,,,,,
2017-12-07,16599.0,,,,,,,
2017-12-08,15880.0,,,,,,,
2017-12-09,14656.07,,,,,,,
2017-12-10,14899.98,,,,,,,
2017-12-11,16587.97,,,,,,,
2017-12-12,16349.99,,,,,,,
2017-12-13,16033.29,,,,,,,
2017-12-14,16334.98,,,,,,,
2017-12-15,17539.83,,,,,,,
2017-12-16,19102.66,,,,,,,
2017-12-17,18860.02,,,,,,,
2017-12-18,18856.25,,,,,,,
2017-12-19,17295.2,,,,,,,
2017-12-20,16488.98,,,,,,,
2017-12-21,15492.64,,,,,,,
2017-12-22,13326.61,,,,,,,
2017-12-23,13300.0,,,,,,,
2017-12-24,13500.0,,,,,,,
2017-12-25,13699.34,,,,,,,
2017-12-26,15689.01,,,,,,,
2017-12-27,15459.99,,,,,,,
2017-12-28,14182.11,,,,,,,
2017-12-29,14378.9,,,,,,,
2017-12-30,12440.01,,,,,,,
2017-12-31,13716.36,,,,,,,
2018-01-01,13380.0,,,,,,2.69423548,972783.0
2018-01-02,14675.11,,,109.6445,2.46,9.77,2.92544313,1142721.0
2018-01-03,14919.51,4100530.0,211566.0,109.6751,2.44,9.15,2.96026687,1130917.0
2018-01-04,15059.54,4155528.0,211566.0,109.4777,2.46,9.22,2.94402195,1253986.0
2018-01-05,16960.39,4168348.0,211566.0,109.3496,2.47,9.22,3.26196426,1069525.0
2018-01-06,17069.79,4168348.0,211566.0,109.3496,2.47,9.22,3.24692954,1163503.0
2018-01-07,16150.03,4168348.0,211566.0,109.3496,2.47,9.22,3.04278121,1130388.0
2018-01-08,14902.54,4168621.0,211566.0,109.5681,2.49,9.52,2.80152545,1157303.0
2018-01-09,14400.0,4175684.0,211566.0,109.9025,2.55,10.08,2.69017079,1145338.0
2018-01-10,14907.09,4181893.0,206215.0,109.628,2.55,9.82,2.73334467,1118949.0
2018-01-11,13238.78,4206250.0,206215.0,109.4888,2.54,9.88,2.45400706,1222969.0
2018-01-12,13740.01,4218257.0,206215.0,108.901,2.55,10.16,2.55762013,1153290.0
2018-01-13,14210.0,4218257.0,206215.0,108.901,2.55,10.16,2.63127775,939348.0
2018-01-14,13474.99,4218257.0,206215.0,108.901,2.55,10.16,2.52606465,971840.0
2018-01-15,13539.93,4218257.0,206215.0,108.901,2.55,10.16,2.50804935,949563.0
2018-01-16,10900.0,4217844.0,206215.0,108.3218,2.54,11.66,2.12079726,1001819.0
2018-01-17,10988.79,4190932.0,227665.0,108.1526,2.57,11.91,2.07376393,1090483.0
2018-01-18,10961.97,4188676.0,227665.0,108.0655,2.62,12.22,2.09352287,1050790.0
2018-01-19,11474.98,4189284.0,227665.0,107.9455,2.64,11.27,2.129939,1027992.0
2018-01-20,12799.94,4189284.0,227665.0,107.9455,2.64,11.27,2.37080852,970060.0
2018-01-21,11530.0,4189284.0,227665.0,107.9455,2.64,11.27,2.12617327,988506.0
2018-01-22,10760.05,4182774.0,227665.0,108.107,2.66,11.03,2.00268788,946599.0
2018-01-23,10799.18,4179689.0,227665.0,107.9979,2.63,11.1,2.02766184,893416.0
2018-01-24,11349.99,4135828.0,269118.0,107.0802,2.65,11.47,2.09753554,940167.0
2018-01-25,11175.27,4152308.0,269118.0,106.5052,2.63,11.58,2.08000559,854029.0
2018-01-26,11089.0,4150772.0,269118.0,106.6911,2.66,11.08,2.05791562,807029.0
2018-01-27,11491.0,4150772.0,269118.0,106.6911,2.66,11.08,2.10883443,860840.0
2018-01-28,11879.95,4150772.0,269118.0,106.6911,2.66,11.08,2.15410037,765711.0
2018-01-29,11251.0,4148219.0,269118.0,107.1142,2.7,13.84,2.06552658,775230.0
2018-01-30,10237.51,4140433.0,269118.0,107.1064,2.73,14.79,1.85916763,845185.0
2018-01-31,10285.1,4083184.0,270244.0,106.7696,2.72,13.54,1.87794381,685452.0
2018-02-01,9224.52,4117156.0,270244.0,106.4877,2.78,13.47,1.69691999,833934.0
2018-02-02,8873.03,4105050.0,270244.0,107.1151,2.84,17.31,1.66151934,853582.0
2018-02-03,9199.96,4105050.0,270244.0,107.1151,2.84,17.31,1.72878243,714800.0
2018-02-04,8184.81,4105050.0,270244.0,107.1151,2.84,17.31,1.56184746,711645.0
2018-02-05,6939.99,4089973.0,270244.0,107.33,2.77,37.32,1.30831891,915758.0
2018-02-06,7652.14,4099767.0,270244.0,107.5204,2.79,29.98,1.48101152,999753.0
2018-02-07,7599.0,4168689.0,203936.0,107.7175,2.84,27.73,1.46484643,804119.0
2018-02-08,7784.02,4183537.0,203936.0,108.3025,2.85,33.46,1.58085047,753618.0
2018-02-09,8683.92,4180242.0,203936.0,108.2582,2.83,29.06,1.6660923,781921.0
2018-02-10,8533.98,4180242.0,203936.0,108.2582,2.83,29.06,1.64139497,737187.0
2018-02-11,8063.88,4180242.0,203936.0,108.2582,2.83,29.06,1.55971533,814528.0
2018-02-12,8903.0,4186178.0,203936.0,108.0332,2.86,25.61,1.71364615,912131.0
2018-02-13,8539.9,4173672.0,203936.0,107.7574,2.83,24.97,1.64241903,868109.0
2018-02-14,9449.99,4198664.0,197681.0,107.4691,2.91,19.26,1.81957973,937769.0
2018-02-15,10000.09,4208102.0,197681.0,106.9867,2.9,19.13,1.93482187,779005.0
2018-02-16,10159.98,4207567.0,197681.0,107.0359,2.87,19.46,1.9474862,773561.0
2018-02-17,11039.55,4207567.0,197681.0,107.0359,2.87,19.46,2.11360732,765638.0
2018-02-18,10383.43,4207567.0,197681.0,107.0359,2.87,19.46,1.99108492,730130.0
2018-02-19,11153.0,4207567.0,197681.0,107.0359,2.87,19.46,2.11485368,857787.0
2018-02-20,11200.99,4204687.0,197681.0,107.6249,2.88,20.6,2.12780635,703065.0
2018-02-21,10437.6,4151812.0,214677.0,107.8679,2.94,20.02,1.97827013,713740.0
2018-02-22,9811.04,4160663.0,214677.0,107.8668,2.92,18.72,1.84607258,719848.0
2018-02-23,10131.04,4181108.0,214677.0,107.6804,2.88,16.49,1.89577059,732287.0
2018-02-24,9694.51,4181108.0,214677.0,107.6804,2.88,16.49,1.8093287,690001.0
2018-02-25,9590.0,4181108.0,214677.0,107.6804,2.88,16.49,1.7940982,526879.0
2018-02-26,10324.0,4187623.0,214677.0,107.7347,2.86,15.8,1.92409125,688379.0
2018-02-27,10569.04,4177254.0,214677.0,108.1731,2.9,18.59,1.98459986,699046.0
2018-02-28,10326.76,4146271.0,202620.0,108.3903,2.87,19.85,1.91774992,817155.0
2018-03-01,10920.0,4176447.0,202620.0,108.5358,2.81,22.47,2.0275908,821011.0
2018-03-02,11039.0,4175139.0,202620.0,108.5358,2.86,19.59,2.0411051,752300.0
2018-03-03,11464.48,4175139.0,202620.0,108.5358,2.86,19.59,2.11464502,934083.0
2018-03-04,11515.0,4175139.0,202620.0,108.5358,2.86,19.59,2.11715719,792569.0
2018-03-05,11454.0,4175551.0,202620.0,108.3614,2.88,18.73,2.124487,857168.0
2018-03-06,10716.48,4179576.0,202620.0,107.7969,2.88,18.36,1.96727059,834323.0
2018-03-07,9910.0,4186731.0,195071.0,108.0911,2.89,17.76,1.82720774,922143.0
2018-03-08,9271.64,4194063.0,195071.0,108.2671,2.86,16.54,1.72480924,903578.0
2018-03-09,9227.0,4197779.0,195071.0,107.923,2.9,14.64,1.72471755,888997.0
2018-03-10,8770.22,4197779.0,195071.0,107.923,2.9,14.64,1.6363096,803717.0
2018-03-11,9533.57,4197779.0,195071.0,107.923,2.9,14.64,1.76958222,889324.0
2018-03-12,9131.34,4199256.0,195071.0,107.9438,2.87,15.78,1.70331347,828676.0
2018-03-13,9150.0,4198881.0,195071.0,107.7384,2.84,16.35,1.70702426,773506.0
2018-03-14,8170.0,4152359.0,249929.0,107.8623,2.81,17.23,1.53691592,580666.0
2018-03-15,8240.98,4153583.0,249929.0,108.2032,2.82,16.59,1.54749227,602746.0
2018-03-16,8260.0,4147049.0,249929.0,108.4332,2.85,15.8,1.56958433,601517.0
2018-03-17,7824.8,4147049.0,249929.0,108.4332,2.85,15.8,1.47896206,452543.0
2018-03-18,8189.99,4147049.0,249929.0,108.4332,2.85,15.8,1.5372127,535510.0
2018-03-19,8600.0,4149509.0,249929.0,108.3145,2.85,19.02,1.60262445,587514.0
2018-03-20,8909.98,4145379.0,249929.0,108.4953,2.89,18.2,1.66984764,567891.0
2018-03-21,8885.0,4064182.0,316454.0,108.4953,2.89,17.86,1.66685407,586910.0
2018-03-22,8722.9,4073176.0,316454.0,107.9935,2.83,23.34,1.6366036,577941.0
